src_id,dst_id,correlation,common
1,1974,0.4560065,110
1,8115,0.42993763,133
1,10444,0.3868381,157
1,10714,0.38065472,307
1,8211,0.36511117,134
1,160,0.36239544,487
1,2298,0.34958225,157
1,7655,0.33758214,381
1,4087,0.33711976,632
1,10717,0.33668813,278
1,578,0.32215875,2513
1,10500,0.31777945,128
1,2251,0.3157754,3834
1,6151,0.3017131,322
1,18849,0.2998322,145
1,3167,0.2994376,1178
1,7465,0.29404023,867
1,15591,0.2874581,117
1,6336,0.2872876,269
1,6024,0.28287813,126
1,16664,0.27806017,393
1,7785,0.27661481,765
1,1749,0.27076256,201
1,10624,0.25606328,333
1,3420,0.25495842,599
1,16201,0.2538965,633
1,907,0.253149,455
1,31297,0.25116548,419
1,10431,0.25078335,280
1,420,0.2484375,225
1,746,0.24518435,441
1,5332,0.23987244,111
1,81,0.23674956,474
1,1619,0.23664978,220
1,12883,0.23619114,757
1,23459,0.23261958,115
1,10834,0.23120885,210
1,7367,0.23056895,317
1,838,0.22915262,143
1,3087,0.22902003,723
1,2273,0.22596358,588
1,9055,0.22409958,247
1,6467,0.22329485,267
1,24405,0.2230463,315
1,659,0.22147168,565
1,1170,0.22095004,192
1,10418,0.21299642,1278
1,3375,0.21209446,446
1,13601,0.20939279,4719
1,8023,0.20900086,388
5,10714,0.46385238,307
5,6984,0.42286354,163
5,10717,0.4000536,278
5,8023,0.39858454,388
5,18849,0.39234838,145
5,1253,0.38728335,391
5,11113,0.3819739,587
5,8057,0.36665228,145
5,1051,0.35834226,396
5,2397,0.35529315,700
5,10622,0.34959516,267
5,5332,0.33488595,111
5,22839,0.32994223,308
5,2273,0.32857272,588
5,8115,0.3217026,133
5,10418,0.31359416,1278
5,2298,0.3098642,157
5,565,0.30965823,704
5,7016,0.30544305,116
5,10711,0.29433593,1020
5,7367,0.29207966,317
5,5504,0.28360537,153
5,10108,0.2809018,146
5,746,0.27971703,441
5,7580,0.2768838,336
5,10500,0.27657384,128
5,3087,0.27371144,723
5,6974,0.26790953,811
5,16201,0.26785403,633
5,3375,0.2662257,446
5,10834,0.26077074,210
5,958,0.26060173,106
5,24991,0.25791684,629
5,7739,0.25358358,498
5,16353,0.25240627,849
5,16664,0.2510777,393
5,11255,0.23791184,108
5,6633,0.23733968,385
5,6467,0.23225027,267
5,7897,0.23141032,163
5,1887,0.23003578,3441
5,30276,0.22883406,4876
5,7465,0.2269505,867
5,8525,0.21991554,3977
5,585,0.21776952,1290
5,659,0.21766193,565
5,5764,0.20952217,907
5,16317,0.2074774,144
5,936,0.2047936,1758
5,6151,0.1966569,322
6,6024,0.48011458,126
6,24919,0.47749415,102
6,8230,0.46101537,127
6,32553,0.42881936,115
6,1253,0.4270184,391
6,10671,0.40377623,189
6,11255,0.39583647,108
6,6882,0.3851499,197
6,4130,0.36199772,181
6,3392,0.35606232,277
6,20509,0.35338083,630
6,541,0.34705743,210
6,31478,0.3469578,1057
6,670,0.34627107,393
6,24893,0.33965445,645
6,461,0.33869565,775
6,31143,0.33680406,174
6,160,0.33293605,487
6,8348,0.33025062,204
6,9347,0.32327774,286
6,10714,0.32313076,307
6,1191,0.31955105,107
6,6467,0.31933305,267
6,200,0.31858692,143
6,1619,0.31564298,220
6,10444,0.31361356,157
6,10622,0.29667857,267
6,6974,0.29131192,811
6,492,0.28796548,206
6,30585,0.28616786,124
6,30514,0.2822834,167
6,585,0.27642944,1290
6,317,0.274385,2814
6,10418,0.2717659,1278
6,10717,0.26955226,278
6,13357,0.2684675,1163
6,189,0.26764944,2367
6,191,0.26737165,985
6,9379,0.2669287,1805
6,51,0.26496062,607
6,16910,0.264504,294
6,24703,0.26158392,1723
6,8023,0.26048565,388
6,14513,0.2600494,3262
6,32542,0.25906664,1033
6,694,0.25886497,242
6,2031,0.25858733,293
6,3401,0.25706437,106
6,26055,0.25438955,1022
6,1710,0.2526538,283
7,24991,0.586009,629
7,10380,0.5189993,127
7,11255,0.47631907,108
7,31374,0.43515328,353
7,21033,0.42001992,965
7,30585,0.33456448,124
7,19429,0.32070744,1279
7,177,0.27713338,1511
7,1530,0.24842706,2440
7,160,0.24642846,487
7,10500,0.17894156,128
7,22839,0.16891052,308
7,7791,0.15751514,3086
7,11285,0.14035569,2329
7,30276,0.08537409,4876
7,8408,-0.011967064,1744
7,8115,-0.012451842,133
15,4662,0.5888167,127
15,4136,0.5110664,132
15,6336,0.49349692,269
15,1366,0.4895374,326
15,9479,0.44328028,726
15,8171,0.430218,137
15,15051,0.4162901,1400
15,8115,0.41612518,133
15,2589,0.4070455,202
15,3667,0.3735851,983
15,5310,0.36673108,294
15,987,0.30190054,613
15,21033,0.29333353,965
15,7465,0.29132158,867
15,529,0.29083648,694
15,8525,0.26771182,3977
15,8023,0.24065179,388
15,4477,0.19110197,1209
15,793,0.17247804,666
15,7367,0.16522747,317
15,31338,0.15572102,550
15,899,0.14259169,1135
15,3270,0.03240026,136
15,8557,0.022337144,1094
15,1916,-0.030761318,110
16,7367,0.40862682,317
16,160,0.39996663,487
16,24151,0.36965057,520
16,30749,0.3524212,606
16,32729,0.34832528,814
16,1051,0.3375237,396
16,10714,0.33021694,307
16,11113,0.30272803,587
16,75,0.27377915,237
16,4087,0.26421514,632
16,904,0.24426818,1009
16,8408,0.23042719,1744
16,8115,0.22783981,133
16,18295,0.21349424,856
16,463,0.2078022,729
16,2025,0.19573288,5069
16,26055,0.19196631,1022
16,565,0.1902791,704
16,7785,0.16916315,765
16,5356,0.16290252,1485
16,461,0.13803448,775
16,15315,0.13564214,2629
16,1214,0.13399176,115
16,19291,0.10951531,149
16,6401,0.09216292,208
